Red curve_x,Red curve_y
469.8471050262,569.
470.0918807983,596.
470.3366565704,613.
470.5814323425,551.
470.8262081146,619.
471.0709838867,641.
471.3157596588,622.
471.5605354309,630.
471.8053112030,632.
472.0500869751,584.
472.2948627472,553.
472.5396385193,501.
472.7844142914,578.
473.0291900635,633.
473.2739658356,618.
473.5187416077,603.
473.7635173798,602.
474.0082931519,589.
474.253068924,586.
474.4978446960,590.
474.7426204681,584.
474.9873962402,610.
475.2321720123,609.
475.4769477844,637.
475.7217235565,602.
475.9664993286,551.
476.2112751007,608.
476.4560508728,623.
476.7008266449,619.
476.945602417,615.
477.1903781891,579.
477.4351539612,577.
477.6799297333,596.
477.9247055054,598.
478.1694812775,534.
478.4142570496,587.
478.6590328217,613.
478.9038085938,600.
479.1485843658,592.
479.3933601379,586.
479.6381359100,582.
479.8829116821,607.
480.1276874542,599.
480.3724632263,603.
480.6172389984,571.
480.8620147705,560.
481.1067905426,555.
481.3515663147,608.
481.5963420868,600.
481.8411178589,549.
482.085893631,545.
482.3306694031,557.
482.5754451752,563.
482.8202209473,541.
483.0649967194,555.
483.3097724915,619.
483.5545482635,601.
483.7993240356,582.
484.0440998077,615.
484.2888755798,563.
484.5336513519,627.
484.7784271240,587.
485.0232028961,538.
485.2679786682,598.
485.5127544403,590.
485.7575302124,571.
486.0023059845,588.
486.2470817566,622.
486.4918575287,567.
486.7366333008,555.
486.9814090729,584.
487.226184845,576.
487.4709606171,578.
487.7157363892,620.
487.9605121613,590.
488.2052879333,572.
488.4500637054,579.
488.6948394775,529.
488.9396152496,591.
489.1843910217,625.
489.4291667938,582.
489.6739425659,606.
489.9187183380,603.
490.1634941101,628.
490.4082698822,636.
490.6530456543,597.
490.8978214264,566.
491.1425971985,608.
491.3873729706,653.
491.6321487427,595.
491.8769245148,584.
492.1217002869,587.
492.366476059,606.
492.6112518311,630.
492.8560276031,641.
493.1008033752,623.
493.3455791473,611.
493.5903549194,595.
493.8351306915,633.
494.0799064636,646.
494.3246822357,685.
